OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
2, mujets, central, 0, 0.0, 2.4, 20.0, 1000.0, 0, 1, (0.9203+(-3.32421e-05*x))+(-7.74664e-08*(x*x))
2, mujets, up, 0, 0.0, 2.4, 20.0, 1000.0, 0, 1, ((0.9203+(-3.32421e-05*x))+(-7.74664e-08*(x*x)))*1.05
2, mujets, down, 0, 0.0, 2.4, 20.0, 1000.0, 0, 1, ((0.9203+(-3.32421e-05*x))+(-7.74664e-08*(x*x)))*0.95
2, mujets, central, 1, 0.0, 2.4, 20.0, 1000.0, 0, 1, (0.9203+(-3.32421e-05*x))+(-7.74664e-08*(x*x))
2, mujets, up, 1, 0.0, 2.4, 20.0, 1000.0, 0, 1, ((0.9203+(-3.32421e-05*x))+(-7.74664e-08*(x*x)))*1.10
2, mujets, down, 1, 0.0, 2.4, 20.0, 1000.0, 0, 1, ((0.9203+(-3.32421e-05*x))+(-7.74664e-08*(x*x)))*0.90
2, mujets, central, 2, 0.0, 2.4, 20.0, 1000.0, 0, 1, (((1.00462+(0.00325971*x))+(-7.79184e-06*(x*x)))+(5.22506e-09*(x*(x*x))))
2, mujets, up, 2, 0.0, 2.4, 20.0, 1000.0, 0, 1, (((1.00462+(0.00325971*x))+(-7.79184e-06*(x*x)))+(5.22506e-09*(x*(x*x)))) + ((((1.16361+(0.00464695*x))+(-1.09467e-05*(x*x)))+(7.21896e-09*(x*(x*x))))-(((0.845757+(0.00186422*x))+(-4.6133e-06*(x*x)))+(3.21723e-09*(x*(x*x)))))/2.0
2, mujets, down, 2, 0.0, 2.4, 20.0, 1000.0, 0, 1, (((1.00462+(0.00325971*x))+(-7.79184e-06*(x*x)))+(5.22506e-09*(x*(x*x)))) - ((((1.16361+(0.00464695*x))+(-1.09467e-05*(x*x)))+(7.21896e-09*(x*(x*x))))-(((0.845757+(0.00186422*x))+(-4.6133e-06*(x*x)))+(3.21723e-09*(x*(x*x)))))/2.0
1, mujets, central, 0, 0.0, 2.4, 20.0, 1000.0, 0, 1, "(0.939158+(0.000158694*x))+(-(2.53407e-07*(x*x)))" 
1, mujets, up, 0, 0.0, 2.4, 20.0, 1000.0, 0, 1, "((0.939158+(0.000158694*x))+(-(2.53407e-07*(x*x))))*1.05" 
1, mujets, down, 0, 0.0, 2.4, 20.0, 1000.0, 0, 1, "((0.939158+(0.000158694*x))+(-(2.53407e-07*(x*x))))*0.95" 
1, mujets, central, 1, 0.0, 2.4, 20.0, 1000.0, 0, 1, "(0.939158+(0.000158694*x))+(-(2.53407e-07*(x*x)))" 
1, mujets, up, 1, 0.0, 2.4, 20.0, 1000.0, 0, 1, "((0.939158+(0.000158694*x))+(-(2.53407e-07*(x*x))))*1.10" 
1, mujets, down, 1, 0.0, 2.4, 20.0, 1000.0, 0, 1, "((0.939158+(0.000158694*x))+(-(2.53407e-07*(x*x))))*0.90" 
1, mujets, central, 2, 0.0, 0.8, 20.0, 1000.0, 0, 1, (((1.07541+(0.00231827*x))+(-4.74249e-06*(x*x)))+(2.70862e-09*(x*(x*x))))
